URL,Company Name
https://www.ycombinator.com/companies/outerport,Outerport
https://www.ycombinator.com/companies/dreamrp,DreamRP
https://www.ycombinator.com/companies/melty,Melty
https://www.ycombinator.com/companies/syntra,Syntra
https://www.ycombinator.com/companies/pathpilot,PathPilot
https://www.ycombinator.com/companies/standard-data,Standard Data
https://www.ycombinator.com/companies/kairo-health,Kairo Health
https://www.ycombinator.com/companies/midship,Midship
https://www.ycombinator.com/companies/soma-lab,Soma Lab
https://www.ycombinator.com/companies/merlin-ai,Merlin AI
https://www.ycombinator.com/companies/freestyle,Freestyle
https://www.ycombinator.com/companies/arva-ai,Arva AI
https://www.ycombinator.com/companies/affil-ai,Affil.ai
https://www.ycombinator.com/companies/orgorg,OrgOrg
https://www.ycombinator.com/companies/patched,Patched
https://www.ycombinator.com/companies/village-labs,Village Labs
https://www.ycombinator.com/companies/mica-ai,Mica AI
https://www.ycombinator.com/companies/formula-insight,Formula Insight
https://www.ycombinator.com/companies/overlap,Overlap
https://www.ycombinator.com/companies/capitol-ai,Capitol AI
https://www.ycombinator.com/companies/kart-ai,Kart AI
https://www.ycombinator.com/companies/void,Void
https://www.ycombinator.com/companies/anglera,Anglera
https://www.ycombinator.com/companies/xtraffic,XTraffic
https://www.ycombinator.com/companies/felafax,Felafax
https://www.ycombinator.com/companies/henry-2,Henry
https://www.ycombinator.com/companies/hey-revia,Hey Revia
https://www.ycombinator.com/companies/ficra,Ficra
https://www.ycombinator.com/companies/rowboat-labs,RowBoat Labs
https://www.ycombinator.com/companies/pipeshift,Pipeshift
https://www.ycombinator.com/companies/vera-health,Vera Health
https://www.ycombinator.com/companies/pharos,Pharos
https://www.ycombinator.com/companies/et-al,et al.
https://www.ycombinator.com/companies/keet,Keet
https://www.ycombinator.com/companies/terra-2,Terra
https://www.ycombinator.com/companies/ai-sell,AI Sell
https://www.ycombinator.com/companies/diode-computers-inc,"Diode Computers, Inc."
https://www.ycombinator.com/companies/surebright,SureBright
https://www.ycombinator.com/companies/usul,Usul
https://www.ycombinator.com/companies/saldor,Saldor
https://www.ycombinator.com/companies/bucket-robotics,Bucket Robotics
https://www.ycombinator.com/companies/oway,Oway
https://www.ycombinator.com/companies/elayne,Elayne
https://www.ycombinator.com/companies/blaze-2,Blaze
https://www.ycombinator.com/companies/pap,pap!
https://www.ycombinator.com/companies/mindely,Mindely
https://www.ycombinator.com/companies/tradeflow,TradeFlow
https://www.ycombinator.com/companies/voker,Voker
https://www.ycombinator.com/companies/rastro,Rastro
https://www.ycombinator.com/companies/quetzal,Quetzal
https://www.ycombinator.com/companies/weavel,Weavel
https://www.ycombinator.com/companies/moreta,Moreta
https://www.ycombinator.com/companies/focus-buddy,Focus Buddy
https://www.ycombinator.com/companies/simplifine,Simplifine
https://www.ycombinator.com/companies/sepal-ai,Sepal AI
https://www.ycombinator.com/companies/assembly-hoa,Assembly HOA
https://www.ycombinator.com/companies/autarc,autarc
https://www.ycombinator.com/companies/omnidock,omnidock
https://www.ycombinator.com/companies/polymet,Polymet
https://www.ycombinator.com/companies/kontigo,Kontigo
https://www.ycombinator.com/companies/remo,Remo
https://www.ycombinator.com/companies/propaya,Propaya
https://www.ycombinator.com/companies/vendra,Vendra
https://www.ycombinator.com/companies/argil,Argil
https://www.ycombinator.com/companies/zeropath,ZeroPath
https://www.ycombinator.com/companies/actionbase,Actionbase
https://www.ycombinator.com/companies/corpdaq,Corpdaq
https://www.ycombinator.com/companies/lumen-orbit,Lumen Orbit
https://www.ycombinator.com/companies/dataleap,Dataleap
https://www.ycombinator.com/companies/zimi,Zimi
https://www.ycombinator.com/companies/thyme,Thyme
https://www.ycombinator.com/companies/ionworks,Ionworks
https://www.ycombinator.com/companies/rescript,Rescript
https://www.ycombinator.com/companies/zigma-by-nextui,Zigma - by NextUI
https://www.ycombinator.com/companies/helium,Helium
https://www.ycombinator.com/companies/ai-2,&AI
https://www.ycombinator.com/companies/haystack-software,Haystack Software
https://www.ycombinator.com/companies/finosu,Finosu
https://www.ycombinator.com/companies/odo,Odo
https://www.ycombinator.com/companies/baseline-ai,Baseline AI
https://www.ycombinator.com/companies/zephr,Zephr
https://www.ycombinator.com/companies/winford-ai,Winford AI
https://www.ycombinator.com/companies/cartage,Cartage
https://www.ycombinator.com/companies/paasa,Paasa
https://www.ycombinator.com/companies/blast,Blast
https://www.ycombinator.com/companies/lilac-labs,Lilac Labs
https://www.ycombinator.com/companies/palmier,Palmier
https://www.ycombinator.com/companies/simple-ai,Simple AI
https://www.ycombinator.com/companies/sensei,Sensei
https://www.ycombinator.com/companies/guardian-rf,Guardian RF
https://www.ycombinator.com/companies/laminar-ai,Laminar AI
https://www.ycombinator.com/companies/cerulion,Cerulion
https://www.ycombinator.com/companies/presti-ai,Presti AI
https://www.ycombinator.com/companies/the-forecasting-company,The Forecasting Company
https://www.ycombinator.com/companies/praxos,Praxos
